url,tags
https://item.jd.com/10068574118814.html,
https://item.jd.com/10068564997363.html,"新品,每满100-3"
https://item.jd.com/10070158280952.html,
https://item.jd.com/10070238618560.html,"免邮,券99-10"
https://item.jd.com/10064736781282.html,"放心购,免邮,2件9.75折"
https://item.jd.com/10068564997364.html,"新品,每满100-3"
https://item.jd.com/10047154393969.html,放心购
https://item.jd.com/10067751274511.html,免邮
https://item.jd.com/10070238618561.html,"免邮,券99-10"
https://item.jd.com/10064736781284.html,"放心购,免邮,2件9.75折"
https://item.jd.com/10064736781283.html,"放心购,免邮,2件9.75折"
https://item.jd.com/10067751274513.html,免邮
https://item.jd.com/10052419455554.html,
https://item.jd.com/10069384188311.html,免邮
https://item.jd.com/10067751274514.html,免邮
https://item.jd.com/10059120811299.html,"京东物流,免邮,2件9.8折,赠"
https://item.jd.com/10068714820791.html,"放心购,新品,满2-1"
https://item.jd.com/10035949986493.html,免邮
https://item.jd.com/10038341141258.html,
https://item.jd.com/10068041828355.html,"新品,2件9.5折,赠"
https://item.jd.com/10037334357531.html,"京东物流,放心购"
https://item.jd.com/100053098465.html,"自营,厂商配送,新品"
https://item.jd.com/10060640268501.html,"京东物流,免邮,2件9.8折,赠"
https://item.jd.com/10055868397694.html,"京东物流,2件9.8折"
https://item.jd.com/63234050150.html,放心购
https://item.jd.com/10035950018218.html,免邮
https://item.jd.com/10069366440822.html,"放心购,新品,券100-5,满2-1"
https://item.jd.com/10032579818676.html,"京东物流,放心购"
https://item.jd.com/10068638650270.html,新品
https://item.jd.com/10059120811302.html,"京东物流,免邮,2件9.8折,赠"
https://item.jd.com/10068697763509.html,
https://item.jd.com/10068070663241.html,
https://item.jd.com/10066377579314.html,
https://item.jd.com/10057456405513.html,
https://item.jd.com/10069241849354.html,"京东物流,放心购,新品"
https://item.jd.com/10062046908888.html,"放心购,免邮"
https://item.jd.com/10068254777150.html,
https://item.jd.com/10069386660785.html,免邮
https://item.jd.com/10068043316313.html,"京东物流,放心购,新品,2件9.6折"
https://item.jd.com/10024311177265.html,京东物流
https://item.jd.com/10024311177266.html,京东物流
https://item.jd.com/10045907443639.html,"品质认证,免邮,满2-1"
https://item.jd.com/10061279496086.html,
https://item.jd.com/10025971692767.html,满2-1
https://item.jd.com/10032947096668.html,"京东物流,放心购,2件9.8折"
https://item.jd.com/10069535250562.html,"京东物流,新品,满10-5"
https://item.jd.com/10065288574859.html,"京东物流,满100-5"
https://item.jd.com/10065273093461.html,"券200-10,2件9.8折"
https://item.jd.com/10041246696285.html,
https://item.jd.com/10067945835061.html,券100-2
https://item.jd.com/10061008632384.html,免邮
https://item.jd.com/10067945835062.html,券100-2
https://item.jd.com/10055401404028.html,"京东物流,券4-3,满50-3"
https://item.jd.com/10063263810868.html,京东物流
https://item.jd.com/41415250125.html,
https://item.jd.com/10067892248245.html,券100-2
https://item.jd.com/10039074635903.html,"京东物流,放心购"
https://item.jd.com/10020607644363.html,"京东物流,放心购,满200-5"
https://item.jd.com/10038982602603.html,"京东物流,放心购,满100-5"
